pais;ano;media de fertilidade
Luxembourg;2000;1761
Luxembourg;2001;1662
Luxembourg;2002;1629
Luxembourg;2003;1.62
Luxembourg;2004;1657
Luxembourg;2005;1631
Luxembourg;2006;1646
Luxembourg;2007;1611
Luxembourg;2008;1606
Luxembourg;2009;1.59
Luxembourg;2010;1622
Luxembourg;2011;1.53
Luxembourg;2012;1572
Luxembourg;2013;1.55
Luxembourg;2014;1499
Luxembourg;2015;1464
Luxembourg;2016;1415
Luxembourg;2017;1392
Luxembourg;2018;1.38
Luxembourg;2019;1343
Luxembourg;2020;1361
Luxembourg;2021;1382
Luxembourg;2022;1.39
Luxembourg;2023;1396
