Pais;Ano;Media de Fertilidade
Brazil;1976;4339
Brazil;1977;4267
Brazil;1978;4195
Brazil;1979;4.12
Brazil;1980;4037
Brazil;1981;3943
Brazil;1982;3838
Brazil;1983;3723
Brazil;1984;3.6
Brazil;1985;3.48
Brazil;1986;3361
Brazil;1987;3232
Brazil;1988;3112
Brazil;1989;3007
Brazil;1990;2896
Brazil;1991;2805
Brazil;1992;2.71
Brazil;1993;2.66
Brazil;1994;2603
Brazil;1995;2567
Brazil;1996;2511
Brazil;1997;2468
Brazil;1998;2418
Brazil;1999;2335
Brazil;2000;2247
Brazil;2001;2162
Brazil;2002;2081
Brazil;2003;2006
Brazil;2004;1973
Brazil;2005;1942
Brazil;2006;1896
Brazil;2007;1854
Brazil;2008;1815
Brazil;2009;1799
Brazil;2010;1786
Brazil;2011;1777
Brazil;2012;1766
Brazil;2013;1761
Brazil;2014;1775
Brazil;2015;1777
Brazil;2016;1727
Brazil;2017;1.74
Brazil;2018;1744
Brazil;2019;1705
Brazil;2020;1653
Brazil;2021;1638
Brazil;2022;1629
Brazil;2023;1619
Luxembourg;1976;1.5
Luxembourg;1977;1509
Luxembourg;1978;1.49
Luxembourg;1979;1479
Luxembourg;1980;1496
Luxembourg;1981;1548
Luxembourg;1982;1.49
Luxembourg;1983;1439
Luxembourg;1984;1424
Luxembourg;1985;1386
Luxembourg;1986;1429
Luxembourg;1987;1408
Luxembourg;1988;1.51
Luxembourg;1989;1528
Luxembourg;1990;1602
Luxembourg;1991;1613
Luxembourg;1992;1651
Luxembourg;1993;1706
Luxembourg;1994;1725
Luxembourg;1995;1705
Luxembourg;1996;1768
Luxembourg;1997;1719
Luxembourg;1998;1687
Luxembourg;1999;1744
Luxembourg;2000;1761
Luxembourg;2001;1662
Luxembourg;2002;1629
Luxembourg;2003;1.62
Luxembourg;2004;1657
Luxembourg;2005;1631
Luxembourg;2006;1646
Luxembourg;2007;1611
Luxembourg;2008;1606
Luxembourg;2009;1.59
Luxembourg;2010;1622
Luxembourg;2011;1.53
Luxembourg;2012;1572
Luxembourg;2013;1.55
Luxembourg;2014;1499
Luxembourg;2015;1464
Luxembourg;2016;1415
Luxembourg;2017;1392
Luxembourg;2018;1.38
Luxembourg;2019;1343
Luxembourg;2020;1361
Luxembourg;2021;1382
Luxembourg;2022;1.39
Luxembourg;2023;1396
Philippines;1976;5505
Philippines;1977;5442
Philippines;1978;5393
Philippines;1979;5255
Philippines;1980;5108
Philippines;1981;4973
Philippines;1982;4917
Philippines;1983;4867
Philippines;1984;4.77
Philippines;1985;4664
Philippines;1986;4563
Philippines;1987;4509
Philippines;1988;4449
Philippines;1989;4365
Philippines;1990;4322
Philippines;1991;4273
Philippines;1992;4161
Philippines;1993;4098
Philippines;1994;4079
Philippines;1995;4067
Philippines;1996;4004
Philippines;1997;3943
Philippines;1998;3884
Philippines;1999;3825
Philippines;2000;3754
Philippines;2001;3719
Philippines;2002;3651
Philippines;2003;3591
Philippines;2004;3524
Philippines;2005;3448
Philippines;2006;3466
Philippines;2007;3403
Philippines;2008;3401
Philippines;2009;3376
Philippines;2010;3315
Philippines;2011;3236
Philippines;2012;3143
Philippines;2013;3042
Philippines;2014;2894
Philippines;2015;2829
Philippines;2016;2679
Philippines;2017;2525
Philippines;2018;2378
Philippines;2019;2215
Philippines;2020;2075
Philippines;2021;1.95
Philippines;2022;1929
Philippines;2023;1916
United States;1976;1785
United States;1977;1826
United States;1978;1804
United States;1979;1843
United States;1980;1861
United States;1981;1847
United States;1982;1855
United States;1983;1827
United States;1984;1827
United States;1985;1854
United States;1986;1852
United States;1987;1885
United States;1988;1942
United States;1989;2014
United States;1990;2072
United States;1991;2059
United States;1992;2039
United States;1993;2.01
United States;1994;1988
United States;1995;1965
United States;1996;1.96
United States;1997;1956
United States;1998;1.98
United States;1999;1.99
United States;2000;2.03
United States;2001;2011
United States;2002;2003
United States;2003;2025
United States;2004;2031
United States;2005;2.04
United States;2006;2087
United States;2007;2096
United States;2008;2053
United States;2009;1987
United States;2010;1916
United States;2011;1879
United States;2012;1862
United States;2013;1.84
United States;2014;1848
United States;2015;1832
United States;2016;1804
United States;2017;1753
United States;2018;1715
United States;2019;1684
United States;2020;1616
United States;2021;1634
United States;2022;1665
United States;2023;1624
World;1976;3974
World;1977;3.85
World;1978;3787
World;1979;3771
World;1980;3744
World;1981;3711
World;1982;3712
World;1983;3581
World;1984;3553
World;1985;3515
World;1986;3504
World;1987;3476
World;1988;3.39
World;1989;3347
World;1990;3.31
World;1991;3131
World;1992;3044
World;1993;2.98
World;1994;2933
World;1995;2889
World;1996;2846
World;1997;2809
World;1998;2776
World;1999;2.75
World;2000;2754
World;2001;2714
World;2002;2684
World;2003;2659
World;2004;2647
World;2005;2.63
World;2006;2625
World;2007;2623
World;2008;2626
World;2009;2621
World;2010;2602
World;2011;2588
World;2012;2607
World;2013;2572
World;2014;2564
World;2015;2537
World;2016;2536
World;2017;2504
World;2018;2437
World;2019;2397
World;2020;2322
World;2021;2291
World;2022;2265
World;2023;2251
